oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LR,0.952,0.053,0.143,0.037,0.077,0.553,0.249,0.607
No,0,DT,0.968,0.091,0.143,0.02,0.111,0.561,0.249,0.606
No,0,RF,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LightGBM,0.98,0.364,0.571,0.014,0.444,0.779,0.723,0.303
No,0,Adaboost,0.978,0.25,0.286,0.012,0.267,0.637,0.443,0.505
No,0,GBDT,0.95,0.05,0.143,0.039,0.074,0.552,0.249,0.607
Random,0.01,SVM,0.98,0.0,0.0,0.006,0.0,0.497,0.0,0.707
Random,0.01,KNN,0.968,0.0,0.0,0.018,0.0,0.491,0.0,0.707
Random,0.01,LR,0.914,0.026,0.143,0.075,0.044,0.534,0.247,0.608
Random,0.01,DT,0.954,0.167,0.571,0.041,0.258,0.765,0.716,0.304
Random,0.01,RF,0.986,0.0,0.0,0.0,0.0,0.5,0.0,0.707
Random,0.01,LightGBM,0.982,0.25,0.143,0.006,0.182,0.568,0.25,0.606
Random,0.01,Adaboost,0.97,0.0,0.0,0.016,0.0,0.492,0.0,0.707
Random,0.01,GBDT,0.968,0.0,0.0,0.018,0.0,0.491,0.0,0.707
SMOTE,0.02,SVM,0.634,0.016,0.429,0.363,0.032,0.533,0.512,0.479
SMOTE,0.02,KNN,0.746,0.024,0.429,0.249,0.045,0.59,0.546,0.441
SMOTE,0.02,LR,0.648,0.023,0.571,0.351,0.043,0.61,0.608,0.392
SMOTE,0.02,DT,0.936,0.097,0.429,0.057,0.158,0.686,0.589,0.406
SMOTE,0.02,RF,0.978,0.3,0.429,0.014,0.353,0.707,0.597,0.404
SMOTE,0.02,LightGBM,0.984,0.4,0.286,0.006,0.333,0.64,0.444,0.505
SMOTE,0.02,Adaboost,0.97,0.1,0.143,0.018,0.118,0.562,0.249,0.606
SMOTE,0.02,GBDT,0.978,0.167,0.143,0.01,0.154,0.566,0.25,0.606
ADASYN,0.03,SVM,0.64,0.017,0.429,0.357,0.032,0.536,0.514,0.476
ADASYN,0.03,KNN,0.738,0.03,0.571,0.26,0.058,0.656,0.645,0.354
ADASYN,0.03,LR,0.654,0.017,0.429,0.343,0.034,0.543,0.519,0.471
ADASYN,0.03,DT,0.97,0.25,0.571,0.024,0.348,0.774,0.721,0.304
ADASYN,0.03,RF,0.978,0.3,0.429,0.014,0.353,0.707,0.597,0.404
ADASYN,0.03,LightGBM,0.972,0.182,0.286,0.018,0.222,0.634,0.443,0.505
ADASYN,0.03,Adaboost,0.978,0.167,0.143,0.01,0.154,0.566,0.25,0.606
ADASYN,0.03,GBDT,0.978,0.25,0.286,0.012,0.267,0.637,0.443,0.505
BorderlineSMOTE,0.02,SVM,0.578,0.019,0.571,0.422,0.037,0.575,0.575,0.425
BorderlineSMOTE,0.02,KNN,0.92,0.029,0.143,0.069,0.048,0.537,0.248,0.608
BorderlineSMOTE,0.02,LR,0.51,0.024,0.857,0.495,0.047,0.681,0.636,0.364
BorderlineSMOTE,0.02,DT,0.974,0.0,0.0,0.012,0.0,0.494,0.0,0.707
BorderlineSMOTE,0.02,RF,0.984,0.0,0.0,0.002,0.0,0.499,0.0,0.707
BorderlineSMOTE,0.02,LightGBM,0.978,0.25,0.286,0.012,0.267,0.637,0.443,0.505
BorderlineSMOTE,0.02,Adaboost,0.976,0.143,0.143,0.012,0.143,0.565,0.25,0.606
BorderlineSMOTE,0.02,GBDT,0.98,0.0,0.0,0.006,0.0,0.497,0.0,0.707
SVMSMOTE,0.02,SVM,0.594,0.024,0.714,0.408,0.047,0.653,0.648,0.352
SVMSMOTE,0.02,KNN,0.918,0.053,0.286,0.073,0.089,0.606,0.437,0.508
SVMSMOTE,0.02,LR,0.514,0.02,0.714,0.489,0.04,0.613,0.596,0.4
